country,adm1_name,adm1_pcode,pop_frac_3plus,years_of_schooling,primary_school_net_attendance_gp_index,net_attendance_total,secondary_school_net_attendance_gp_index,health_fac_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,healthcare_access_pop,school_access_pop,nutrition,child_mortality,cooking_fuel,sanitation,drinking_water,electricity,housing,assets,poverty_headcount_pct,gcp_pc,soil_moist,fapar,pdsi,ndvi,youth_bulge
Kenya,Uasin Gishu,KE027,0,0.021344244,0.777777778,0.714285714,0.877192982,0.141986716,0.132856417,0.347395392,0.97609761,0.386726228,0.144387878,0.187888413,0.711650739,0.403300481,0.274916256,0.366585879,0.352920615,0.040372013,0.17040426,0.256752811,0.116742658,0.625360765,0.347432167,0.535212485,0.601027719
Kenya,Kericho,KE035,0,0.037338568,0.703703704,0.692857143,0.771929825,0.33086383,0.312847852,0.761934368,0.909990999,0.113167411,0.308832211,0.079954448,0.906210089,0.71591249,0.511118504,0.472634927,0.565449696,0.294257946,0.302855029,0.222868823,0.19729365,0.570050884,0.557943125,0.52045348,0.439913198
Kenya,Nandi,KE029,0,0.045198006,0.666666667,0.628571429,0.824561404,0.304217609,0.306557412,0.208442487,0.829182918,0.020952989,0.170887533,0.09005705,0.897127856,0.579168222,0.663751524,0.612022392,0.644972988,0.247329304,0.293646324,0.20058939,0.400622687,0.671075521,0.573426997,0.454012198,0.390053537
Kenya,Siaya,KE041,0,0.061108237,0.814814815,0.464285714,0.842105263,0.177210987,0.164095493,0.466353051,0.898389839,0.472027228,0.154926111,0.292046563,0.946469777,0.604683542,0.685289688,0.91672469,0.551893908,0.052124243,0.287168196,0.091261647,1,0.73689916,0.694254373,0.571323699,0.114360084
Kenya,Migori,KE044,0,0.037371165,0.888888889,0.392857143,0.649122807,0.215964682,0.198499316,0.616537718,0.931793179,0.453414167,0.177048717,0.650291063,0.932989419,0.865458985,0.601609499,0.915741413,0.635975624,0.28677782,0.391292409,0.087891574,0.877725926,0.651878303,0.885805667,0.405643929,0.232687181
Kenya,Nakuru,KE032,0,0.032545973,0.740740741,0.75,0.719298246,0.209358249,0.195998759,0.390347806,0.96109611,0.581684748,0.170961972,0.199492752,0.700237601,0.479859325,0.33048023,0.365562758,0.292185509,0.146286526,0.191460719,0.309041093,0.133937633,0.361793535,0.231956743,0.677637289,0.41181766
Kenya,Garissa,KE007,0.5,0.477785364,0,0.728571429,0,0.193774486,0.174480859,0.701832843,0.209620962,0.242607956,0.540752593,0.426552654,0.960626222,0.583588376,0.355052131,0.454899058,0.129204621,0.544410137,0.668392557,0.009734774,0.794654924,0.54175222,0.434718678,0.572240385,1
Kenya,Mandera,KE009,1,0.770081691,0.555555556,0.521428571,0.140350877,0,0,0.062041531,0.074707471,0.072856839,0.92008593,0.188661578,1,0.594878983,0.585554026,0.890340247,0.747156686,1,1,0,0.977962586,0.998292368,0.540806125,0.777584186,0.357573612
Kenya,Baringo,KE030,0.5,0.119408171,0.666666667,0.614285714,0.719298246,0.516404643,0.519024413,0.346107561,0.580258026,0.145926399,0.614465653,0.541357809,0.97897432,0.445681259,0.776900645,0.802141485,0.789027986,0.47283742,0.562139053,0.088109094,0.288218114,0.260392659,0.312149079,0.595765976,0.42411937
Kenya,Kisii,KE045,0,0.04487065,0.814814815,0.742857143,0.771929825,0.098367679,0.070493751,0.86225275,1,0.418634333,0.082638543,0.345436533,0.880133095,0.695143845,0.837912626,0.592437746,0.629226531,0.294544987,0.305483908,0.174193462,0.739881991,0.560494425,0.726216696,0.422258212,0.129957571
Kenya,Bomet,KE036,0,0.018267421,0.740740741,0.621428571,0.701754386,0.146887608,0.150149276,0.076667903,0.562956296,0,0.391121079,0.116519363,0.950162159,0,0.38845347,0.811783694,0.693284291,0.433315632,0.275957323,0.219564304,0.275062816,0.68108516,0.656387424,0.565114009,0.411443932
Kenya,Nyamira,KE046,0,0.039798636,0.740740741,0.821428571,0.807017544,0.307555898,0.297366118,0.540204476,0.9879988,0.324292704,0.063055918,0.1525853,0.937653581,0.718360965,0.754226002,0.527030951,0.670958605,0.319066108,0.281559581,0.22729968,0.514259266,0.520025109,0.636462934,0.465495129,0.030278813
Kenya,Busia,KE040,0,0.084478099,0.925925926,0.507142857,0.807017544,0.077511844,0.074396844,0.196932525,0.96659666,0.194320357,0.223104909,0.357905644,0.938590938,0.679653788,0.649626283,0.789355594,0.657005524,0.134363013,0.33745886,0.078070387,0.902411196,0.530121084,1,0.487641958,0.264503045
