ADM1_EN,mean_ndvi_change_2015_to_2023,Somalia_NDVI_2015,Somalia_NDVI_2016,Somalia_NDVI_2017,Somalia_NDVI_2018,Somalia_NDVI_2019,Somalia_NDVI_2021,Somalia_NDVI_2022,Somalia_NDVI_Change_2015_to_2016,Somalia_NDVI_Change_2016_to_2017,Somalia_NDVI_Change_2017_to_2018,Somalia_NDVI_Change_2018_to_2019,Somalia_NDVI_Change_2019_to_2020,Somalia_NDVI_Change_2020_to_2021,Somalia_NDVI_Change_2021_to_2022,Somalia_NDVI_Change_2022_to_2023
Awdal,0.006330433,0.116051897,0.126654936,0.121338719,0.132390757,0.138394013,0.151977479,0.134981715,0.010633655,-0.00532179,0.011024341,0.006009874,0.030357929,-0.016745027,-0.016998683,0.03170212
Bakool,-0.009439296,0.300296857,0.277758536,0.245364439,0.315501983,0.313964378,0.284436289,0.257687011,-0.022703116,-0.032378744,0.070256643,-0.001559356,0.035342488,-0.064915876,-0.026722151,-0.032834253
Banadir,-0.005525416,0.22998855,0.231005229,0.212245192,0.217396105,0.198322821,0.231784232,0.210914967,0.001009289,-0.019568629,0.00535444,-0.018733945,0.041660718,-0.008613545,-0.020561472,-0.024997538
Bari,0.003108605,0.14699234,0.13806637,0.142226607,0.139298947,0.148526719,0.164829892,0.145923479,-0.008925362,0.004145708,-0.002925419,0.009226208,0.024464571,-0.008163357,-0.018909732,0.025950455
Bay,-0.013558905,0.399060403,0.351233182,0.341248198,0.39661484,0.379815307,0.34864691,0.328014016,-0.047897281,-0.010044745,0.0553805,-0.016873991,0.039379047,-0.070520065,-0.020660415,-0.037234298
Galgaduud,-0.004526806,0.234467401,0.21397276,0.19991663,0.224960483,0.225810393,0.222254997,0.20620521,-0.020486561,-0.014053377,0.02502591,0.000853922,0.026611727,-0.030160669,-0.016016543,-0.007987144
Gedo,-0.009087807,0.292570929,0.275982477,0.256995872,0.309552399,0.311756563,0.261846031,0.242008191,-0.016676569,-0.019018943,0.052518492,0.0022174,0.013501384,-0.063391215,-0.019849339,-0.022003523
Hiraan,-0.00913077,0.291399658,0.259775902,0.237171137,0.2821643,0.283986863,0.266559025,0.241318783,-0.031718305,-0.02258171,0.044974076,0.001760902,0.0395523,-0.056937299,-0.025247819,-0.022848312
Lower Juba,-0.008361345,0.429272247,0.375920785,0.375784219,0.432334803,0.419211436,0.370110414,0.376714646,-0.053219468,-0.000158832,0.056381538,-0.013021674,0.031799926,-0.081002686,0.006672673,-0.014327975
Lower Shabelle,-0.00913021,0.394230133,0.355001983,0.339608257,0.392061518,0.38765869,0.364690779,0.350975788,-0.039377114,-0.015273631,0.052427556,-0.004515355,0.041415149,-0.064296643,-0.013722028,-0.029677946
Middle Juba,-0.009302165,0.421011262,0.366798424,0.387047513,0.422940186,0.41938704,0.378672817,0.361389209,-0.054352984,0.020419548,0.035872572,-0.003555139,0.020153342,-0.060788543,-0.017301536,-0.014865033
Middle Shabelle,-0.008273357,0.327791391,0.294017446,0.255357081,0.302150146,0.29542092,0.306580558,0.263876702,-0.033840151,-0.038590559,0.046880696,-0.006674256,0.061349907,-0.050282319,-0.042698532,-0.002317577
Mudug,-0.002475968,0.185501776,0.167817352,0.157603636,0.185907282,0.187494624,0.180074018,0.165655235,-0.017663471,-0.01017033,0.028255715,0.001545757,0.027853049,-0.035274227,-0.014360722,7.65E-06
Nugaal,-0.001398729,0.169445219,0.154193841,0.15484504,0.158876677,0.167382081,0.168222492,0.156223787,-0.01524008,0.000663202,0.004044438,0.008457128,0.022046018,-0.021218687,-0.011961556,0.00201822
Sanaag,0.001143633,0.14523017,0.136458209,0.138968957,0.143852497,0.157881126,0.177107058,0.14889299,-0.008777885,0.002521791,0.004863445,0.014018563,0.020256805,-0.00097307,-0.028235423,0.005474917
Sool,-0.001646801,0.155329317,0.138473721,0.139205386,0.146401866,0.16237441,0.161616912,0.144475547,-0.016864585,0.000698436,0.007219017,0.016009458,0.008705972,-0.009461187,-0.017172447,-0.00230907
Togdheer,-0.001103902,0.191904673,0.178980784,0.180862257,0.193839406,0.203509367,0.20652924,0.186980824,-0.012927808,0.001896001,0.012954863,0.00965726,0.02025498,-0.017231708,-0.019550572,-0.00388423
Woqooyi Galbeed,0.001401581,0.144180227,0.144496364,0.138219826,0.153167252,0.159180431,0.176324928,0.151299653,0.000263498,-0.006226565,0.014932604,0.006009989,0.031033155,-0.013870663,-0.025035735,0.004107099
