country,adm1_name,adm1_pcode,pop_frac_3plus,health_fac_per_10k_pop,hp_hc_per_10k_pop,hospitals_per_100k_pop,healthcare_access_pop,school_access_pop,poverty_headcount_pct,soil_moist,fapar,pdsi,ndvi,youth_bulge,annual_cmb_mean,non_agri_wage,percent_enrollment_male,percent_enrollment_female,gender_parity_index,dropout_pct,pqtr_pct,on_payroll_pct
Ssd,Central Equatoria,SS01,0.666666667,0.505803038,0.461822416,1,0.786748991,1,0.090909091,0.065605369,0.527598576,0.343726059,0.608314779,1,0.469229741,1,0.164948454,0.835051546,0.805797101,0.269230769,0.126436782,0
Ssd,Eastern Equatoria,SS02,0.461538462,0.580090938,0.585524747,0.406209178,0.263595346,0.263753056,0.363636364,0,0.879707876,1,1,0.310344828,0.089032896,0,0.381443299,0.618556701,0.568115942,0.115384615,0,0.5
Ssd,Jonglei,SS03,0.794871795,0.008830366,0.016045839,0,0.093327001,0.120721271,1,0.054549818,0.4535461,0.194404314,0.641226876,0.034482759,0.174410062,0.107976,0.969072165,0.030927835,0.028985507,0.307692308,1,0.307692308
Ssd,Lakes,SS04,0.58974359,0,0,0.146723592,0,0.25702934,1,0.104959439,0.393790546,0.070947127,0.310765616,0.724137931,0.258259525,0.691954286,1,0,0,0.653846154,0.379310345,0.230769231
Ssd,Northern Bahr el Ghazal,SS05,0.743589744,0.578814219,0.576818294,0.163960824,0.753502731,0.183374083,0.727272727,0.039580778,0.453373878,0.07635533,0.147309451,0.448275862,0.351066183,0.34204,0,1,1,1,0.505747126,1
Ssd,Unity,SS06,1,0.292267163,0.267889253,0.186188057,0.204701971,0.204462103,0.727272727,1,0,0,0,0.379310345,0.629900667,0.74466,0.773195876,0.226804124,0.197101449,0.153846154,0.735632184,0.192307692
Ssd,Upper Nile,SS07,0.897435897,0.264954992,0.247254353,0.528692142,0.388031346,0.614303178,0.818181818,0.294217528,1,0.131202675,0.789189314,0,1,0.17832,0.329896907,0.670103093,0.628985507,0.307692308,0.666666667,0
Ssd,Warrap,SS08,0.435897436,0.152644367,0.140728041,0.304901669,0.017573023,0,0.909090909,0.296449758,0.49083171,0.081663432,0.163443203,0.551724138,0.130012731,0.897013333,0.546391753,0.453608247,0.411594203,0.384615385,0.344827586,0.653846154
Ssd,Western Bahr el Ghazal,SS09,0.384615385,0.454676283,0.448502838,0.570486213,1,0.846882641,0,0.160168406,0.595054355,0.233307576,0.344085378,0.206896552,0.595607214,0.605142857,0.257731959,0.742268041,0.698550725,0,0.471264368,0.038461538
Ssd,Western Equatoria,SS10,0,1,1,0.534334406,0,0.710574572,0.090909091,0.213146015,0.523425603,0.210832868,0.449300329,0.24137931,0,0.22624,0.144329897,0.855670103,0.828985507,0.153846154,0.310344828,0.5
