country,country_code,adm1_pcode,adm1_name,total_fatalities_2016,total_fatalities_2017,total_fatalities_2018,total_fatalities_2019,total_fatalities_2020,total_fatalities_2021,total_fatalities_2022,total_fatalities_2023,total_fatalities_2024,total_fatalities_2025,count_conflict_events_2016,count_conflict_events_2017,count_conflict_events_2018,count_conflict_events_2019,count_conflict_events_2020,count_conflict_events_2021,count_conflict_events_2022,count_conflict_events_2023,count_conflict_events_2024,count_conflict_events_2025,total_fatalities_per_1k_2016,count_conflicts_events_per_1k_2016,total_fatalities_per_1k_2017,count_conflicts_events_per_1k_2017,total_fatalities_per_1k_2018,count_conflicts_events_per_1k_2018,total_fatalities_per_1k_2019,count_conflicts_events_per_1k_2019,total_fatalities_per_1k_2020,count_conflicts_events_per_1k_2020,total_fatalities_per_1k_2021,count_conflicts_events_per_1k_2021,total_fatalities_per_1k_2022,count_conflicts_events_per_1k_2022,total_fatalities_per_1k_2023,count_conflicts_events_per_1k_2023,total_fatalities_per_1k_2024,count_conflicts_events_per_1k_2024,total_fatalities_per_1k_2025,count_conflicts_events_per_1k_2025
somalia,SOM,SO11,Awdal,2,1,0,10,1,0,5,1,0,3,4,3,2,9,6,0,4,4,2,14,0.003143863,0.006287726,0.001571932,0.004715795,0,0.003143863,0.015719316,0.014147384,0.001571932,0.00943159,0,0,0.007859658,0.006287726,0.001571932,0.006287726,0,0.003143863,0.004715795,0.022007042
somalia,SOM,SO25,Bakool,259,163,80,72,121,64,435,501,81,106,95,71,50,62,53,145,105,120,154,124,0.476690041,0.174847698,0.300001841,0.130675648,0.147240167,0.092025104,0.13251615,0.11411113,0.222700753,0.097546611,0.117792134,0.266872803,0.800618409,0.193252719,0.922091547,0.220860251,0.149080669,0.283437322,0.195093221,0.228222259
somalia,SOM,SO22,Banadir,692,1436,1031,840,452,558,670,618,416,266,499,625,805,656,509,537,717,596,377,375,0.218200164,0.15734376,0.452796872,0.197073848,0.325093019,0.253831116,0.264867251,0.20684871,0.142523807,0.160496941,0.175947531,0.16932585,0.211263165,0.226083118,0.19486662,0.187929621,0.131172353,0.118874945,0.08387463,0.118244309
somalia,SOM,SO16,Bari,144,351,296,102,122,116,53,127,118,1707,122,137,156,98,75,39,40,62,47,719,0.116860352,0.099006687,0.284847108,0.11117964,0.240212946,0.126598715,0.082776083,0.079529962,0.099006687,0.060864767,0.094137506,0.031649679,0.043011102,0.032461209,0.103064338,0.050314874,0.095760566,0.03814192,1.385282088,0.583490229
somalia,SOM,SO24,Bay,443,613,382,370,423,202,274,371,223,376,162,182,182,197,236,242,239,323,357,310,0.354973637,0.129809773,0.491193769,0.14583567,0.306094649,0.14583567,0.29647911,0.157855094,0.33894774,0.189105595,0.161861568,0.193913364,0.219554801,0.191509479,0.297280405,0.25881825,0.178688761,0.286062277,0.30128688,0.248401417
somalia,SOM,SO19,Galgaduud,309,155,180,35,103,176,821,1542,984,691,85,68,42,37,87,111,151,232,184,271,0.380242174,0.104597362,0.190736365,0.083677889,0.221500295,0.051683402,0.043069502,0.045530616,0.126747391,0.107058476,0.216578067,0.136591849,1.010287458,0.185814137,1.897519197,0.28548927,1.210868281,0.226422524,0.850315023,0.333481
somalia,SOM,SO26,Gedo,561,489,357,149,105,108,95,96,91,70,119,146,126,88,120,116,84,97,128,142,0.575060222,0.121982471,0.501255702,0.149659167,0.365947414,0.129157911,0.152734355,0.090205525,0.107631592,0.123007534,0.110706781,0.118907283,0.097380965,0.086105274,0.098406027,0.09943109,0.093280713,0.131208036,0.071754395,0.145558915
somalia,SOM,SO20,Hiraan,736,366,438,417,178,186,1374,735,196,1344,130,196,207,160,192,176,245,244,156,347,1.457916526,0.25751243,0.724996533,0.38824951,0.867618802,0.410039023,0.826020641,0.316938375,0.352593943,0.38032605,0.368440861,0.348632213,2.721708298,0.485311887,1.455935662,0.483331022,0.38824951,0.309014916,2.662282352,0.687360101
somalia,SOM,SO28,Lower Juba,692,620,683,500,439,359,404,872,950,869,173,183,227,270,347,489,401,283,260,429,0.597458212,0.149364553,0.53529493,0.157998342,0.589687802,0.195987015,0.43168946,0.233112308,0.379023346,0.299592485,0.309953032,0.422192292,0.348805084,0.346214947,0.752866418,0.244336234,0.820209974,0.224478519,0.750276281,0.370389557
somalia,SOM,SO23,Lower Shabelle,985,1077,1232,1309,934,682,801,1293,820,1879,472,527,635,710,723,826,782,700,732,855,0.618279739,0.296272118,0.676027694,0.330795353,0.773320445,0.39858643,0.821652972,0.445663568,0.586267285,0.453823605,0.428088103,0.518476207,0.502783828,0.49085762,0.81160985,0.439386616,0.514710036,0.459472862,1.179439217,0.536679367
somalia,SOM,SO27,Middle Juba,180,143,242,268,116,52,34,102,122,258,42,22,44,67,52,11,14,33,17,59,0.418517055,0.097653979,0.332488549,0.051152084,0.562672929,0.102304169,0.623125392,0.155781348,0.269710991,0.120904927,0.120904927,0.025576042,0.079053221,0.032551326,0.237159664,0.076728127,0.283661559,0.039526611,0.599874445,0.13718059
