adm1_pcode,adm1_name,Score_pop_frac_3+,Score_Formal_Education,Score_primary_school_gross_attendance_total,Score_secondary_school_gross_attendance_total,Score_percent_highest_level_primary_education,Score_percent_highest_level_secondary_education,Score_percent_highest_level_university_education,Score_health_fac_per_10k_pop,Score_total_expenditure_usd,Score_food_percentage_share_pct,Score_Non_Poverty,Score_extreme_Non_Poverty,Score_temperatur,Score_mean_NDVI_change_2015_to_2023,Score_elevation_
SO11,Awdal,0.111111111,0,1,0.962848297,0.944206009,0.943396226,1,0.561275163,0.996865204,0.152727273,0,0.018223235,0.85455931,1,0.524313069
SO25,Bakool,0.407407407,0.8125,0.379194631,0,0.403433476,0,0,1,0.134796238,1,0.76875,0.806378132,0.62190682,0.207126502,0.474603351
SO22,Banadir,0.37037037,0.473958333,0.263422819,0.761609907,0.373390558,0.811320755,0.593023256,0,0.706896552,0.258181818,0.095833333,0,0.793351459,0.403909321,0.016471378
SO16,Bari,0.37037037,0.229166667,0.674496644,0.842105263,0.884120172,0.745283019,0.38372093,0.425716253,0.868338558,0.349090909,0.095833333,0.031890661,0.526354972,0.838012306,0.526157056
SO24,Bay,0.592592593,0.596354167,0.404362416,0.371517028,0.480686695,0.405660377,0.255813953,0.499699171,0.764890282,0.64,0.3875,0.243735763,0.748898602,0,0.269403057
SO19,Galgaduud,1,0.739583333,0.305369128,0.575851393,0.278969957,0.424528302,0.139534884,0.124146046,0.5,0.294545455,0.329166667,0.066059226,0.974580238,0.454117628,0.189611939
SO26,Gedo,0.111111111,0.526041667,0.41442953,0.185758514,0.660944206,0.358490566,0.139534884,0.624676942,0.586206897,0.381818182,0.329166667,0.175398633,0.954010693,0.224798734,0.261826421
SO20,Hiraan,0.185185185,0.338541667,0.525167785,0.526315789,0.905579399,0.471698113,0.174418605,0.717421784,0.184952978,0.538181818,0.895833333,0.44191344,0.920748145,0.222638632,0.23394935
SO28,Lower Juba,0.148148148,0.684895833,0.253355705,0.455108359,0.489270386,0.235849057,0.034883721,0.096870655,0.579937304,0.425454545,0.452083333,0.246013667,1,0.261323931,0
SO23,Lower Shabelle,0.37037037,0.703125,0.196308725,0.631578947,0.231759657,0.603773585,0.209302326,0.242148608,0.518808777,0.407272727,0.310416667,0.243735763,0.872191325,0.222666788,0.041344993
SO21,Middle Shabelle,0.333333333,1,0,0.009287926,0,0.150943396,0.069767442,0.042583305,0,0.876363636,1,1,0.788263896,0.265747809,0.09404185
SO18,Mudug,0.518518519,0.541666667,0.441275168,0.820433437,0.536480687,0.575471698,0.127906977,0.090548152,0.238244514,0.389090909,0.714583333,0.55808656,0.925842158,0.55723006,0.174486733
SO17,Nugaal,0.185185185,0.125,0.92114094,1,1,0.745283019,0.534883721,0.249839339,0.910658307,0.389090909,0.05625,0.202733485,0.531778799,0.611391691,0.465678472
SO15,Sanaag,0.259259259,0.471354167,0.493288591,0.795665635,0.587982833,0.58490566,0.302325581,0.638721599,1,0.08,0.13125,0.16856492,0,0.739217062,1
SO14,Sool,0.222222222,0.307291667,0.786912752,0.523219814,0.854077253,0.528301887,0.372093023,0.414544385,0.589341693,0.316363636,0.46875,0.469248292,0.396606092,0.598919079,0.734551706
SO13,Togdheer,0.037037037,0.247395833,0.822147651,0.829721362,0.858369099,0.726415094,0.395348837,0.308010492,0.804075235,0.316363636,0.110416667,0.166287016,0.031746413,0.626215061,0.997232782
SO12,Woqooyi Galbeed,0,0.002604167,0.97147651,0.938080495,0.948497854,1,0.918604651,0.270474937,0.774294671,0,0.11875,0.075170843,0.2623243,0.752186222,0.887857071
