ADM1_EN,adm1_pcode,adm1_name,peacebuilding_index,Food_security,poverty,education,climate_vulnerability,health,Events,Fatalities,,indicator,correlation_with_conflict,weight_magnitude,contribution_sign,,,,,,,
Awdal,SO11,Awdal,1,0.84690369,1,1,0.550702778,0.561275163,21,8,,pop_frac_3+,0.406349594,0.056696088,-1,,,,,,,
Woqooyi Galbeed,SO12,Woqooyi Galbeed,0.917189277,1,0.789026899,0.984023086,0.19195678,0.270474937,50,53,,percent_no_formal_education,0.666274432,0.092962203,-1,,,,,,,
Togdheer,SO13,Togdheer,0.72489466,0.684329707,0.813369683,0.795891374,0.205004378,0.308010492,129,304,,primary_school_gross_attendance_total,-0.687761603,0.095960209,1,,,,,,,
Sool,SO14,Sool,0.581211685,0.682931838,0.585636659,0.705281741,0.081146927,0.414544386,196,500,,secondary_school_gross_attendance_total,-0.528179242,0.073694418,1,,,,,,,
Sanaag,SO15,Sanaag,0.644658562,0.918289008,0.989233923,0.560205474,0.109414095,0.638721599,122,187,,percent_highest_level_primary_education,-0.598707411,0.083534888,1,,,,,,,
Bari,SO16,Bari,0.718789731,0.649186916,0.877082883,0.748903251,0,0.425716254,684,1872,,percent_highest_level_secondary_education,-0.563843928,0.078670547,1,,,,,,,
Nugaal,SO17,Nugaal,0.784240787,0.610707798,0.912030986,0.918155852,0.149941716,0.249839339,121,101,,percent_highest_level_university_education,-0.61082793,0.085226008,1,,,,,,,
Mudug,SO18,Mudug,0.39898632,0.608191634,0.249113039,0.510985143,0.163386949,0.090548152,538,3035,,health_fac_per_10k_pop,0.142091842,0.01982542,1,,,,,,,
Galgaduud,SO19,Galgaduud,0.336139207,0.698811872,0.52764407,0.328849016,0.149070835,0.124146046,907,4044,,total_expenditure_usd,-0.497711272,0.069443362,1,,,,,,,
Hiraan,SO20,Hiraan,0.419326482,0.46207539,0.193261678,0.590417148,0.395201663,0.717421785,1300,3917,,food_percentage_share_pct,0.526905862,0.073516749,-1,,,,,,,
Middle Shabelle,SO21,Middle Shabelle,0,0.123815291,0,0,0.381695229,0.042583305,1339,5176,,poverty_headcount_pct,0.469244464,0.065471519,-1,,,,,,,
Banadir,SO22,Banadir,0.571354929,0.739816433,0.732102815,0.463808273,0.492421437,0,3032,2912,,extreme_poverty_headcount_pct,0.275361908,0.038419979,-1,,,,,,,
Lower Shabelle,SO23,Lower Shabelle,0.373839321,0.591184025,0.539746077,0.311736587,0.477672688,0.242148608,4261,5867,,prec_23_anomaly,0.394610652,0.055058207,1,,,,,,,
Bay,SO24,Bay,0.371817818,0.357495019,0.757462189,0.400303503,0.765087748,0.499699171,1588,1731,,mean_NDVI_change_2015_to_2023,-0.799283903,0.111520402,1,,,,,,,
Bakool,SO25,Bakool,0.121292721,0,0.143480094,0.232315589,0.367625477,1,667,1246,,,,,,,,,,,,
Gedo,SO26,Gedo,0.464519507,0.618517307,0.601880876,0.406592378,1,0.624676943,650,552,,,,,,,,,,,,
Lower Juba,SO28,Lower Juba,0.350582018,0.574735565,0.58588649,0.314303573,0.505377036,0.096870655,1952,3439,,,,,,,,,,,,
Middle Juba,SO27,Middle Juba,,,,,,,157,622,,(food_percentage_share_pct*weight_magnitude*contribution_sign)+(pop_frac_3+*weight_magnitude*contr_sign),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,RAW index values,,,,,
,,,,,,,,,,,,,,,,,,,,,,
adm1_pcode,adm1_name,pop_frac_3+,percent_no_formal_education,primary_school_gross_attendance_total,secondary_school_gross_attendance_total,percent_highest_level_primary_education,percent_highest_level_secondary_education,percent_highest_level_university_education,health_fac_per_10k_pop,total_expenditure_usd,food_percentage_share_pct,poverty_headcount_pct,extreme_poverty_headcount_pct,prec_23_anomaly,mean_NDVI_change_2015_to_2023,,Food_security,poverty,education,climate_vulnerability,health,food_sec_test
SO11,Awdal,0.12,48.7,69.9,38.2,30.3,11.9,9.1,0.701369195,1110,49.4,39.4,11.6,4.5,0.006330433,,0.33609441,74.05688222,9.238329379,0.248467904,0.701369195,-3.638530931
SO25,Woqooyi Galbeed,0.09,48.8,68.2,37.4,30.4,12.5,8.4,0.361809045,968,45.2,45.1,14.1,1.9,0.001401581,,0.230639686,63.72668721,9.002842881,0.104766898,0.361809045,-3.328059703
SO22,Togdheer,0.1,58.2,59.3,33.9,28.3,9.6,3.9,0.405638373,987,53.9,44.7,18.1,2,-0.001103902,,0.305591914,64.91861977,6.229936962,0.109993306,0.405638373,-3.96822238
SO16,Sool,0.15,60.5,57.2,24,28.2,7.5,3.7,0.530035336,850,53.9,61.9,31.4,1.1,-0.001646801,,0.458387871,53.76778333,4.894425879,0.060380376,0.530035336,-3.971057184
SO24,Sanaag,0.16,66.8,39.7,32.8,22,8.1,3.1,0.791801461,1112,47.4,45.7,18.2,1.3,0.001143633,,0.429983131,73.52972651,2.756121639,0.071703208,0.791801461,-3.493765277
SO19,Bari,0.19,57.5,50.5,34.3,28.9,9.8,3.8,0.543080447,1028,54.8,44,12.2,0.5,0.003108605,,0.590319668,68.03830556,5.537370874,0.027875776,0.543080447,-4.039490102
SO26,Nugaal,0.14,53.5,65.2,39.4,31.6,9.8,5.1,0.337713373,1055,55.9,42.1,19.7,1.6,-0.001398729,,0.443703585,69.74952237,8.032014298,0.087937144,0.337713373,-4.117523721
SO20,Mudug,0.23,69.5,36.6,33.6,20.8,8,1.6,0.151713038,626,55.9,73.7,35.3,1.7,-0.002475968,,0.728941603,37.2900684,2.030654645,0.093322831,0.151713038,-4.122626369
SO28,Galgaduud,0.36,77.1,28.5,25.7,14.8,6.4,1.7,0.190944459,793,53.3,55.2,13.7,1.6,-0.004526806,,1.087884537,50.9282045,-0.653881295,0.0875883,0.190944459,-3.938853313
SO23,Hiraan,0.14,61.7,41.6,24.1,29.4,6.9,2,0.883697699,592,60,82.4,30.2,3.4,-0.00913077,,0.476247139,34.55533377,3.201416741,0.186179637,0.883697699,-4.418942392
SO27,Middle Shabelle,0.18,87.1,10.3,7.4,8.3,3.5,1.1,0.095705686,474,69.3,87.4,54.7,3.3,-0.008273357,,0.707227002,25.09236998,-5.500843942,0.180769435,0.095705686,-5.104916002
SO21,Banadir,0.19,66.9,26,31.7,17,10.5,5.6,0.045982226,925,52.3,44,10.8,4.1,-0.005525416,,0.563389026,60.93942724,1.335306588,0.225122452,0.045982226,-3.855698229
SO18,Lower Shabelle,0.19,75.7,22,27.5,13.7,8.3,2.3,0.328733099,805,56.4,54.3,21.5,4,-0.00913021,,0.607555279,51.52077338,-0.90610435,0.219214623,0.328733099,-4.1571169
SO17,Bay,0.25,71.6,34.4,19.1,19.5,6.2,2.7,0.629468449,962,62.8,58,21.5,6.1,-0.013558905,,0.890128582,62.18113659,0.399298768,0.334342968,0.629468449,-4.631025859
SO15,Bakool,0.2,79.9,32.9,7.1,17.7,1.9,0.5,1.213657213,560,72.7,76.3,46.2,3.2,-0.009439296,,0.82436112,32.11780279,-2.076704215,0.175133588,1.213657213,-5.35600687
SO14,Gedo,0.12,68.9,35,13.1,23.7,5.7,1.7,0.775401867,848,55.7,55.2,18.5,7.8,-0.009087807,,0.378956652,54.56317352,0.491991581,0.428440539,0.775401867,-4.10168645
SO13,Lower Juba,0.13,75,25.4,21.8,19.7,4.4,0.8,0.159095667,844,56.9,61.1,21.6,4.2,-0.008361345,,0.419380963,53.78001617,-0.868269097,0.230312009,0.159095667,-4.19047351
SO12,Middle Juba,0.09,NA,NA,NA,NA,NA,NA,0.315663683,NA,NA,NA,NA,5.2,-0.009302165,,,,,,,
