ADM1_EN,adm1_pcode,adm1_name,peacebuilding_index,Food_security,poverty,education,climate_vulnerability,health,Events,Fatalities
Awdal,SO11,Awdal,1,0.123015873,1,1,0.550702778,0.561275163,21,8
Woqooyi Galbeed,SO12,Woqooyi Galbeed,0.917189277,0,0.789026899,0.984023086,0.19195678,0.270474937,50,53
Togdheer,SO13,Togdheer,0.72489466,0.087433862,0.813369683,0.795891374,0.205004378,0.308010492,129,304
Sool,SO14,Sool,0.581211685,0.265674603,0.585636659,0.705281741,0.081146927,0.414544386,196,500
Sanaag,SO15,Sanaag,0.644658562,0.232539683,0.989233923,0.560205474,0.109414095,0.638721599,122,187
Bari,SO16,Bari,0.718789731,0.41957672,0.877082883,0.748903251,0,0.425716254,684,1872
Nugaal,SO17,Nugaal,0.784240787,0.248544974,0.912030986,0.918155852,0.149941716,0.249839339,121,101
Mudug,SO18,Mudug,0.39898632,0.581283069,0.249113039,0.510985143,0.163386949,0.090548152,538,3035
Galgaduud,SO19,Galgaduud,0.336139207,1,0.52764407,0.328849016,0.149070835,0.124146046,907,4044
Hiraan,SO20,Hiraan,0.419326482,0.286507937,0.193261678,0.590417148,0.395201663,0.717421785,1300,3917
Middle Shabelle,SO21,Middle Shabelle,0,0.555952381,0,0,0.381695229,0.042583305,1339,5176
Banadir,SO22,Banadir,0.571354929,0.388161376,0.732102815,0.463808273,0.492421437,0,3032,2912
Lower Shabelle,SO23,Lower Shabelle,0.373839321,0.43968254,0.539746077,0.311736587,0.477672688,0.242148608,4261,5867
Bay,SO24,Bay,0.371817818,0.769312169,0.757462189,0.400303503,0.765087748,0.499699171,1588,1731
Bakool,SO25,Bakool,0.121292721,0.692592593,0.143480094,0.232315589,0.367625477,1,667,1246
Gedo,SO26,Gedo,0.464519507,0.173015873,0.601880876,0.406592378,1,0.624676943,650,552
Lower Juba,SO28,Lower Juba,0.350582018,0.220171958,0.58588649,0.314303573,0.505377036,0.096870655,1952,3439
Middle Juba,SO27,Middle Juba,,,,,,,157,622
