ADM1_NAME,Food Security Index,Poverty Index,Education Index,Climate Vulnerability Index,Food_security_index_new_minmax_minmax,poverty_index_new_minmax_minmax,Education_Index_minmax,climate_vulnerability_index_new_minmax_minmax,health_index_new_minmax_minmax,poverty_index_new_minmax,Food_security_index_new_minmax,health_index_new_minmax,education_index_new_minmax,climate_vulnerability_index_new_minmax
Awdal,0.89051968,0.989066059,0.990712074,0.43696111,0.883588043,0.64486889,1,0.420457417,0.561275163,0.863415445,0.816891256,0.561275163,1,1
Bakool,0.316515732,0.823673121,0.141673658,0.670991457,0,0.080744578,0.125557483,0.716265041,1,0.018646151,0.064609949,1,0.186787005,0.207126502
Banadir,0.680485662,1.038333333,0.536024412,0.75248258,0.560273983,0.812910327,0.531707616,0.819267475,0,0.422056671,0.540178025,0,0.468923435,0.403909321
Bari,0.672883781,1.019198937,0.667789043,0.370105655,0.548572093,0.747646487,0.66741478,0.335954046,0.425716253,0.722901664,0.485634364,0.425716253,0.671793638,0.838012306
Bay,0.444437246,1.008758542,0.358834808,0.845678829,0.196914883,0.712036259,0.349216317,0.937064853,0.499699171,0.825713923,0.12814386,0.499699171,0.364680088,0
Galgaduud,0.321909091,1.092031131,0.320293018,0.770262656,0.00830222,0.996063452,0.309521317,0.84174098,0.124146046,0.276941595,0,0.124146046,0.290439876,0.454117628
Gedo,0.748739115,1.026427487,0.303420315,0.839319499,0.66533935,0.772301718,0.292143766,0.929026843,0.624676942,0.432948392,0.679441228,0.624676942,0.341308173,0.224798734
Hiraan,0.596786718,1.093185269,0.471840128,0.832453935,0.431432733,1,0.465602873,0.920348967,0.717421784,0.264801764,0.524642536,0.717421784,0.496445012,0.222638632
Lower Juba,0.714007431,1.033225133,0.264612988,0.895470428,0.61187543,0.795487214,0.252175284,1,0.096870655,0.54714208,0.622768474,0.096870655,0.250279984,0.261323931
Lower Shabelle,0.600090677,0.977925209,0.33351625,0.851540816,0.436518654,0.606869538,0.323140202,0.944474235,0.242148608,0.28349762,0.45072642,0.242148608,0.281536918,0.222666788
Middle Shabelle,0.376606061,0.8,0.019763842,0.790198065,0.092499531,0,0,0.866938763,0.042583305,0,0.199772924,0.042583305,0,0.265747809
Mudug,0.490295599,0.950981397,0.461987229,0.712547493,0.267506545,0.514969247,0.455455164,0.768790674,0.090548152,0.167861742,0.339667961,0.090548152,0.435692779,0.55723006
Nugaal,0.757824335,0.900859909,0.832756165,0.475019149,0.679324606,0.344014245,0.837317888,0.468561683,0.249839339,0.751899781,0.61409414,0.249839339,0.848712969,0.611391691
Sanaag,0.842370371,0.951361048,0.52998141,0.104313175,0.809469818,0.516264164,0.525483801,0,0.638721599,1,0.738558995,0.638721599,0.506575195,0.739217062
Sool,0.71656287,0.905951025,0.593733481,0.372164464,0.615809124,0.361379087,0.591143399,0.338556321,0.414544385,0.571100509,0.627237272,0.414544385,0.642397803,0.598919079
Togdheer,0.841365494,0.944394457,0.699955504,0.162765984,0.80792297,0.492502429,0.700543695,0.073882669,0.308010492,0.611119479,0.77969626,0.308010492,0.722616578,0.626215061
Woqooyi Galbeed,0.966144201,1.002397494,0.956389372,0.226483817,1,0.690339916,0.964650328,0.154420176,0.270474937,0.568685593,1,0.270474937,0.969365165,0.752186222
