adm1_pcode,adm1_name,peacebuilding_index,Food Security Index,Poverty Index,Education Index,Climate Vulnerability Index,Health Vulnerability Index,Food_security_index_new_minmax_minmax,poverty_index_new_minmax_minmax,education_index_minmax,climate_vulnerability_index_new_minmax,health_index_new_minmax
SO11,Awdal,1,0.057701834,-0.231553169,-1.2134006,-2.186240117,0.561275163,0.152577136,0,0,0,0.561275163
SO25,Bakool,0.956600613,0.269072884,0.074161273,0.050619035,-1.173865997,1,0.711491594,0.829692221,0.724071878,0.525068434,1
SO22,Banadir,0.828849634,0.159550482,-0.151755855,-0.234570772,-0.258159787,0,0.421888766,0.216565532,0.560705809,1,0
SO16,Bari,0.767919333,0.171430542,-0.189075426,-0.825885439,-1.994899517,0.425716253,0.453302421,0.115282266,0.221981386,0.099238915,0.425716253
SO24,Bay,0.760244598,0.284933401,-0.125598815,-0.200062432,-1.048449563,0.499699171,0.753430509,0.287554304,0.580473317,0.590115741,0.499699171
SO19,Galgaduud,0.709461848,0.378181396,-0.072770143,-0.042551134,-1.07420616,0.124146046,1,0.430928422,0.670700952,0.576757067,0.124146046
SO26,Gedo,0.704514246,0.087639586,-0.092122655,-0.257428281,-1.226177926,0.624676942,0.231739549,0.378406764,0.547612278,0.497936822,0.624676942
SO20,Hiraan,0.410768812,0.133235512,0.076840543,-0.596895818,-0.748075897,0.717421784,0.352305833,0.836963612,0.353154146,0.74590472,0.717421784
SO28,Lower Juba,0.398327378,0.105923126,-0.074162625,-0.076777073,-1.325963195,0.096870655,0.280085502,0.427149302,0.651095212,0.446183133,0.096870655
SO23,Lower Shabelle,0.3565233,0.179033781,-0.078483937,0.011631804,-0.51991425,0.242148608,0.473407161,0.415421498,0.701738714,0.864240894,0.242148608
SO21,Middle Shabelle,0.328428354,0.22775378,0.136914118,0.532309561,-1.044703376,0.042583305,0.602234225,1,1,0.592058704,0.042583305
SO18,Mudug,0.304926008,0.226982213,0.041494132,-0.384447946,-1.442250002,0.090548152,0.600194023,0.741035392,0.474851251,0.385870912,0.090548152
SO17,Nugaal,0.208606171,0.113752213,-0.20301817,-1.122250479,-1.890323536,0.249839339,0.300787438,0.077442422,0.052213777,0.153477309,0.249839339
SO15,Sanaag,0.208185045,0.098522231,-0.214192696,-0.46721467,-2.101102666,0.638721599,0.260515805,0.047115372,0.427439759,0.044156589,0.638721599
SO14,Sool,0.187993234,0.116829276,-0.072778626,-0.768615201,-1.926787317,0.414544385,0.308923912,0.430905399,0.254787655,0.134565348,0.414544385
SO13,Togdheer,0.130980609,0.05392372,-0.171397419,-0.902012276,-1.885233934,0.308010492,0.14258692,0.163259405,0.178373438,0.156117034,0.308010492
SO12,Woqooyi Galbeed,0,0,-0.16395552,-1.188397575,-2.095750491,0.270474937,0,0.183456311,0.014322552,0.046932498,0.270474937
