ADM1_EN,ADM0_EN,adm1_pcode,adm1_name,Score_pop_frac_3+,Education_Index,Food_Security_Index,Poverty_Index,Health_Index,Climate_Vulnerability_Index
Awdal,Somalia,SO11,Awdal,0.111111111,0.740712,0.89215,0.007289,0.38121,0.446686
Bakool,Somalia,SO25,Bakool,0.407407407,0.297924,0.040439,0.783801,0.762963,0.660833
Banadir,Somalia,SO22,Banadir,0.37037037,0.523004,0.731342,0.0575,0.148148,0.559071
Bari,Somalia,SO16,Bari,0.518518519,0.540524,0.629593,0.341071,0.381433,0.516976
Bay,Somalia,SO19,Bay,0.37037037,0.390646,0.501095,0.332833,0.4615,0.582106
Galgaduud,Somalia,SO17,Galgaduud,0.592592593,0.21488,0.376041,0.20625,0.354409,0.620715
Gedo,Somalia,SO21,Gedo,0.407407407,0.095371,0.337404,0.21,0.506744,0.646206
Hiraan,Somalia,SO14,Hiraan,0.444444444,0.043883,0.334644,0.059318,0.267973,0.637127
Juba Dhexe,Somalia,SO27,Lower Juba,0.296296296,0.042623,0.192276,0.081071,0.147139,0.70055
Juba Hoose,Somalia,SO28,Lower Shabelle,0.444444444,0.064664,0.237341,0.085227,0.265359,0.737717
Mudug,Somalia,SO15,Middle Juba,0.703703704,0.374473,0.585524,0.40625,0.482517,0.588032
Nugaal,Somalia,SO07,Middle Shabelle,0.37037037,0.239483,0.358344,0.144545,0.241176,0.426965
Sanaag,Somalia,SO05,Mudug,0.37037037,0.23976,0.190536,0.079818,0.17151,0.491056
Sool,Somalia,SO04,Nugaal,0.222222222,0.623441,0.271876,0.2275,0.199725,0.622045
Togdheer,Somalia,SO03,Sanaag,0.555555556,0.389907,0.60302,0.332833,0.274836,0.500671
Woqooyi Galbeed,Somalia,SO02,Sool,0.555555556,0.661596,0.572834,0.254848,0.357046,0.452881
Banaadir,Somalia,SO12,Togdheer,0.777777778,0.320041,0.80195,0.12159,0.377124,0.400412
Shabeellaha Dhexe,Somalia,SO16,Woqooyi Galbeed,0.555555556,0.412711,0.573864,0.438636,0.353571,0.565037
